Model,nse,perc_bias,alpha_nse,beta_nse,r,fhv,fms,flv
HMS,0.6584051131026754,-11.566288724991862,0.8359140162858049,-0.06217308663082392,0.8140926111481787,-22.75499337066154,-10.24534923030367,91.9581084556512
LSTM,0.7139629849269609,-21.90754933023298,0.6011552962817888,-0.11776119330607338,0.905937600949714,-39.77957374365882,-13.802802670259046,-30.472712509571227
HMS_LSTM,0.824471124864354,-15.77470499230628,0.7114352819611295,-0.08479488307629457,0.9402130393305975,-28.308161677138276,-13.740393170156013,-23.623413463269983
