Basin,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,HMS,0.8961434878171757,-18.945593067362086,0.8527236791054682,-0.1961939748367093,0.9743913985300705
MF Tule River S20,LSTM,0.917332912128834,-16.642288674258403,0.8392930624280738,-0.17234175535035512,0.9838324128572773
MF Tule River S20,HMS_LSTM,0.9854714242997406,-5.127227302806527,0.9380759958954414,-0.05309578332292208,0.9958026688436228
NF Tule River S10,HMS,0.9818134989203628,-1.0181822863516754,0.9747140893996691,-0.00963060240497706,0.9910464127420087
NF Tule River S10,LSTM,0.7303838517878805,-33.8554873062715,0.6517006552982777,-0.3202262913468411,0.964892748955596
NF Tule River S10,HMS_LSTM,0.8889872935931172,-17.68834478549231,0.7520303422310798,-0.16730738504753898,0.9856840921620781
SF Tule River S10,HMS,0.9541968722269637,-9.27116094513704,0.9071546417302774,-0.08403445875732407,0.9833980472696946
SF Tule River S10,LSTM,0.6763038825190231,-40.594284856523025,0.5942463770335639,-0.3679494700550827,0.9800812395904309
SF Tule River S10,HMS_LSTM,0.7868891330606156,-31.47867795648005,0.6587957268657779,-0.28532496416820763,0.9884029486427928
