Basin,Wet/Dry,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,Wet,HMS,0.8042093951821377,-29.040657664695168,0.7276848404413175,-0.29641188165752347,0.9767928001055002
MF Tule River S20,Wet,LSTM,0.5895775865707258,-40.360026772125465,0.5844468732924664,-0.4119463001630788,0.9417926066474394
MF Tule River S20,Wet,HMS_LSTM,0.8336990171679097,-23.03983470157812,0.7128662105786853,-0.23516274444691568,0.9799726421275727
MF Tule River S20,Dry,HMS,0.6589061507303995,-43.00358706025605,0.6981820843484684,-0.2646077440083134,0.8711063052841341
MF Tule River S20,Dry,LSTM,0.8536176155255608,39.947029575421524,1.050855850364939,0.24580027152094797,0.9603283868813354
MF Tule River S20,Dry,HMS_LSTM,0.9850729229388174,8.383792941060324,1.017526731606787,0.051586778871687625,0.9941236457900592
NF Tule River S10,Wet,HMS,0.9474115242528042,10.755806388910981,1.0695300574934583,0.10282292279965499,0.9826178361521567
NF Tule River S10,Wet,LSTM,0.5751227734112613,-36.71797885389827,0.6180227041439684,-0.35101504885269763,0.8739860150170901
NF Tule River S10,Wet,HMS_LSTM,0.7444947755605087,-23.491453914831716,0.6608838947725666,-0.224572650808096,0.9318544324983968
NF Tule River S10,Dry,HMS,-0.05464038814141814,71.25257090384939,1.843233278877052,0.38746388561820166,0.9475189155126414
NF Tule River S10,Dry,LSTM,0.17191003453248188,86.6378906219987,1.6012090996988408,0.47112761429287325,0.9235963763247561
NF Tule River S10,Dry,HMS_LSTM,0.6143450950690295,69.2234755043813,1.4108604586628821,0.37642988112131337,0.9733676237873616
SF Tule River S10,Wet,HMS,0.9571873035541936,7.19524532119373,1.0329175970550442,0.06608206941030594,0.981914196999401
SF Tule River S10,Wet,LSTM,0.5742316227108222,-43.417451877934276,0.5407583840155434,-0.3987515283412562,0.9483477873538897
SF Tule River S10,Wet,HMS_LSTM,0.6842998866099893,-34.39386981745472,0.592041928551607,-0.3158777763798326,0.9582026598685934
SF Tule River S10,Dry,HMS,0.5636380069257227,32.54098648059746,1.538241316299296,0.15838251597148265,0.9604830347979132
SF Tule River S10,Dry,LSTM,-0.83931725163565,134.95102224264798,1.828860942540846,0.6568295785519052,0.8029151157594979
SF Tule River S10,Dry,HMS_LSTM,-1.327024175631383,156.96628513967707,2.049077616327853,0.7639816075625847,0.8431507843491819
