Model,nse,perc_bias,alpha_nse,beta_nse,r,fhv,fms,flv
HMS,0.7634060478628635,-7.359745752934627,1.0331312032694149,-0.09073481562296505,0.890012290780816,-13.017122548286917,32.10188841376139,72.49732607740718
LSTM,0.8464322682102561,-13.248057669088764,0.9514035968482807,-0.1633290211809104,0.9345547186057128,-6.559528462873465,12.32714576910887,62.195467799496114
HMS_LSTM,0.8594109823679806,-11.27867142884926,0.9344833182280546,-0.13904939204735178,0.9374189745651879,-9.22930349644872,7.351655793586338,52.95603033916798
