Year Type,Model,nse,perc_bias,alpha_nse,beta_nse,r,fhv,fms,flv
Wet Years,HMS,0.7018622254173659,-16.069245074793308,0.8931438149190533,-0.20196226663007047,0.8623229713724696,-16.39771913193867,15.920172519555742,32.331550084434234
Wet Years,LSTM,0.671824061495759,-29.826613102596518,0.6430391296007657,-0.3748682878418312,0.9531687579292498,-40.84706236383175,-19.37805469378202,-0.8562909545876873
Wet Years,HMS_LSTM,0.7955160119239781,-21.419151408859186,0.7631429384936653,-0.26920121932868757,0.9502626440124071,-32.8925187885783,3.8866088155744336,39.57561893373055
Dry Years,HMS,0.47224182614596,37.547094167776,1.097628724928001,0.4100506416239483,0.8405265508837131,19.8419407474394,-47.202218774582114,74.65413389312752
Dry Years,LSTM,0.3120630331316204,64.50090829173195,1.2706099707493814,0.7044124030522478,0.9533647697744486,28.824586400613367,-40.39192478350099,56.18747132049856
Dry Years,HMS_LSTM,0.6189256352786365,45.64078752034619,1.29007773716048,0.4984416137055433,0.9812084080458008,24.669067454538304,-24.606685569612978,1.608354236306831
