Basin,Year Type,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,Wet Years,HMS,0.891256665142089,-20.051386127443337,0.8305120175493746,-0.20422722021613965,0.9769368772660546
MF Tule River S20,Wet Years,LSTM,0.8848816659113174,-21.48210071124648,0.8040387505165258,-0.21879932313788722,0.9820628178894175
MF Tule River S20,Wet Years,HMS_LSTM,0.9839461079270507,-5.535243859373191,0.9321059418519589,-0.056377522203867,0.9955660276583641
MF Tule River S20,Dry Years,HMS,0.9265350376975872,-12.849858714698401,0.9724277390859509,-0.11110628655562615,0.968964210196711
MF Tule River S20,Dry Years,LSTM,0.9813062873209476,10.113755109436905,0.9835783432345685,0.08744857031440895,0.9945216415691623
MF Tule River S20,Dry Years,HMS_LSTM,0.9889728031336581,-2.8718467022116263,0.9568684717854985,-0.024831418751302934,0.9955321608794013
NF Tule River S10,Wet Years,HMS,0.983763107222426,-4.989231708961749,0.9266332583648891,-0.04679776168822678,0.9953249122982689
NF Tule River S10,Wet Years,LSTM,0.5617060101834198,-44.84185864924195,0.5440788811366953,-0.420605563569038,0.950815143776608
NF Tule River S10,Wet Years,HMS_LSTM,0.8171272212323729,-25.580606388463238,0.6749186506895442,-0.2399397725820896,0.985462099312764
NF Tule River S10,Dry Years,HMS,0.6685089283593838,28.82591186861914,1.4406888529297681,0.2412711903420152,0.9725573571648705
NF Tule River S10,Dry Years,LSTM,0.655413552341454,48.67535290299643,1.3083451482758228,0.4074098466945111,0.96807916698444
NF Tule River S10,Dry Years,HMS_LSTM,0.7882487009643603,41.589527940960814,1.2401243237387771,0.3481019076798694,0.9867284797886102
SF Tule River S10,Wet Years,HMS,0.9294533111291184,-14.787972898794,0.8264907897126597,-0.13202991431235006,0.9860800962155799
SF Tule River S10,Wet Years,LSTM,0.48442028256157144,-51.17047808624553,0.4768540202091879,-0.4568600364151307,0.9652127202583393
SF Tule River S10,Wet Years,HMS_LSTM,0.6343465324137451,-41.39269450409952,0.537346851213706,-0.36956207222825255,0.9860151722850939
SF Tule River S10,Dry Years,HMS,0.7586456800266391,30.83257663798798,1.3675254640245098,0.22982713586609363,0.980454169851729
SF Tule River S10,Dry Years,LSTM,0.5939088527238161,36.390021149683434,1.2213768815945332,0.2712525272582628,0.8839402094881855
SF Tule River S10,Dry Years,HMS_LSTM,0.5469836149374316,40.675994316625385,1.3435151936163119,0.3032003254887734,0.9095346072021279
