Basin,Wet/Dry,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,Wet,HMS,0.8042093951821377,-0.2904065766469517,0.7276848404413175,-0.29641188165752347,0.9767928001055002
MF Tule River S20,Wet,LSTM,0.5964498546848206,-0.3978072637403218,0.5899171028445277,-0.4060335029039268,0.9402297738484915
MF Tule River S20,Wet,HMS_LSTM,0.8578673161477917,-0.20269670999285294,0.7359886523831035,-0.20688826647274056,0.9798720148186465
MF Tule River S20,Dry,HMS,0.6589061507303995,-0.4300358706025605,0.6981820843484684,-0.2646077440083134,0.8711063052841341
MF Tule River S20,Dry,LSTM,0.9288690702256764,0.21112209368589646,0.9143568461716542,0.1299067002067993,0.9743423864465549
MF Tule River S20,Dry,HMS_LSTM,0.9847945905759746,0.07966115083204443,0.9977068599756598,0.049016742201616094,0.9935865380753687
NF Tule River S10,Wet,HMS,0.9474115242528042,0.10755806388910981,1.0695300574934583,0.10282292279965499,0.9826178361521567
NF Tule River S10,Wet,LSTM,0.5714482265703293,-0.37601873580410256,0.6022642006332988,-0.35946486990199283,0.8828230081667404
NF Tule River S10,Wet,HMS_LSTM,0.8383785915903108,-0.14072974132933122,0.763556029347037,-0.13453424880574077,0.9426262188481763
NF Tule River S10,Dry,HMS,0.7803460664049637,-0.3393053880301918,0.9138425161989978,-0.19700073936620507,0.9051141048948963
NF Tule River S10,Dry,LSTM,0.5731285424577337,0.562980633830314,1.282873652970651,0.3268666075634439,0.9064552560178107
NF Tule River S10,Dry,HMS_LSTM,0.7942166397485106,0.3692980971660929,1.2279800021592695,0.21441450903744402,0.9560925678791332
SF Tule River S10,Wet,HMS,0.9571873035541936,0.0719524532119373,1.0329175970550442,0.06608206941030594,0.981914196999401
SF Tule River S10,Wet,LSTM,0.5162751765532141,-0.46232354224847483,0.5066187183572028,-0.4246039578232702,0.9407728029012544
SF Tule River S10,Wet,HMS_LSTM,0.7529596326592225,-0.3169555618827194,0.6404761411959062,-0.29109611285416875,0.9742019934490606
SF Tule River S10,Dry,HMS,0.5636380069257227,0.3254098648059746,1.538241316299296,0.15838251597148265,0.9604830347979132
SF Tule River S10,Dry,LSTM,-0.08739887252421985,1.1414857745981493,1.6601958728389383,0.5555805415865562,0.8967379242924113
SF Tule River S10,Dry,HMS_LSTM,-1.1787526783244169,1.4760447744929592,2.0225791850793327,0.7184160972198719,0.8474811754284735
