Basin,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,HMS,0.8824928923925599,-23.878170333051738,0.7919029602015119,-0.14650636250982169,0.966701339665868
MF Tule River S20,LSTM,-0.01754494293419695,-85.66759619534666,0.15778358917548416,-0.5256201680648799,0.8987857375966031
MF Tule River S20,HMS_LSTM,0.9247071542386415,-9.688259135437068,0.8388029429030951,-0.05944306390262816,0.9727141654152426
NF Tule River S10,HMS,0.9416153363875258,-5.585511490359297,1.011978090983907,-0.03390414787865471,0.9717920287928511
NF Tule River S10,LSTM,0.7801075739606135,-18.35427082002094,0.7516960715290802,-0.11141072991451986,0.9030025299263736
NF Tule River S10,HMS_LSTM,0.9383283858912792,5.232008565352695,1.0477222392726278,0.03175837922959753,0.9721368865011545
SF Tule River S10,HMS,0.9115557354041999,-7.2955484726151525,0.9283197155651345,-0.04179144833811792,0.9560713432573762
SF Tule River S10,LSTM,0.7975188656540632,-4.678186726407719,0.9797361342296513,-0.02679828660265979,0.8972415353020232
SF Tule River S10,HMS_LSTM,0.9067167243472889,14.738402905097736,1.1666058760210138,0.08442671663505116,0.9749710298711219
