Model,nse,perc_bias,alpha_nse,beta_nse,r,fhv,fms,flv
HMS,0.7486963068696283,-0.11554083751889413,0.9069645635436463,-0.14658751040679005,0.8780767124889751,-15.029160747098688,6.306759446907257,72.29387715122887
LSTM,0.7715534009706568,-0.21897406854699053,0.6866490698530485,-0.27781401140267886,0.9613505857620294,-37.74935300367853,-21.93866154888597,66.55063406588322
HMS_LSTM,0.8475318423292043,-0.15777626824844784,0.8124827086948435,-0.2001719120309456,0.9524687553718408,-28.749827107719344,0.5958125137909753,46.8038888593998
