Basin,Model,nse,perc_bias,alpha_nse,beta_nse,r
MF Tule River S20,HMS,0.865150221619817,-0.22749483018347633,0.7960607602786807,-0.22480988847610078,0.9731684558158092
MF Tule River S20,LSTM,0.9095127635807816,-0.1911487951690264,0.8167165227636483,-0.18889281699119273,0.9870126864773608
MF Tule River S20,HMS_LSTM,0.9902070600727708,-0.03240063351987305,0.9450140834021428,-0.0320182344463964,0.9969607217146552
NF Tule River S10,HMS,0.983621273634238,-0.05811126414675785,0.9215352875464409,-0.053670733367818926,0.9960167191944164
NF Tule River S10,LSTM,0.695227893339359,-0.37430639178918634,0.6107803314809601,-0.34570403598264643,0.9723559567463483
NF Tule River S10,HMS_LSTM,0.9144388561190855,-0.16254639131574375,0.7754408406560371,-0.15012552482383387,0.991877746198305
SF Tule River S10,HMS,0.9458753903967778,-0.12648799206019845,0.8588575568335698,-0.11235242164042336,0.9874365932277931
SF Tule River S10,LSTM,0.6291363072654751,-0.4275761708644937,0.5410551834510374,-0.3797927174739434,0.9852225425980337
SF Tule River S10,HMS_LSTM,0.7669177461013567,-0.3361588143596687,0.633472848392483,-0.2985916388893863,0.9924360339651551
